neighbourhood_cleansed,latitude,longitude,property_type,room_type,price,number_of_reviews,review_scores_rating
Pacific Heights,37.78778828,-122.4439282,Apartment,Entire home/apt,210,161,
Pacific Heights,37.79601915,-122.4243725,Apartment,Private room,73,0,
Pacific Heights,37.79287365,-122.4244475,Apartment,Entire home/apt,200,0,
Pacific Heights,37.79101906,-122.431123,Apartment,Entire home/apt,165,63,
Pacific Heights,37.7916579,-122.4238093,Apartment,Entire home/apt,185,0,
Pacific Heights,37.79359348,-122.4279802,Apartment,Entire home/apt,250,0,
Pacific Heights,37.79568107,-122.4262939,Apartment,Entire home/apt,200,1,
Pacific Heights,37.79222413,-122.4279051,Apartment,Private room,90,0,
Pacific Heights,37.78974381,-122.4291943,Apartment,Entire home/apt,358,53,
Pacific Heights,37.7950735,-122.4303579,Apartment,Entire home/apt,699,0,
Pacific Heights,37.79240973,-122.4317866,Guesthouse,Entire home/apt,279,0,
Pacific Heights,37.79049916,-122.4410102,Apartment,Private room,500,1,
Pacific Heights,37.79418453,-122.4316455,Apartment,Entire home/apt,284,28,
Pacific Heights,37.7903263,-122.427066,House,Entire home/apt,275,2,
Pacific Heights,37.79355935,-122.4301749,Bed & Breakfast,Entire home/apt,239,15,
Pacific Heights,37.79041043,-122.4326375,Apartment,Entire home/apt,170,3,
Pacific Heights,37.78976744,-122.4424481,Apartment,Private room,80,0,
Pacific Heights,37.79404283,-122.4317748,Bed & Breakfast,Entire home/apt,245,1,
Pacific Heights,37.79472697,-122.434394,Apartment,Entire home/apt,500,10,
Pacific Heights,37.79352502,-122.4306354,Bed & Breakfast,Private room,165,0,
Pacific Heights,37.78980689,-122.4341119,House,Private room,129,321,
Pacific Heights,37.78811853,-122.4456076,Apartment,Entire home/apt,449,22,
Pacific Heights,37.79039061,-122.4387653,Apartment,Entire home/apt,145,2,
Pacific Heights,37.79179956,-122.4322354,House,Entire home/apt,275,19,
Pacific Heights,37.79490538,-122.4275927,Apartment,Entire home/apt,142,9,
Pacific Heights,37.79360506,-122.4322274,Bed & Breakfast,Private room,269,0,
Pacific Heights,37.78914653,-122.4466058,Condominium,Private room,148,42,
Pacific Heights,37.79535238,-122.4379764,House,Entire home/apt,100,0,
Pacific Heights,37.7969273,-122.4274362,Apartment,Entire home/apt,499,0,
Pacific Heights,37.79176504,-122.4327002,House,Entire home/apt,800,5,
Pacific Heights,37.79546816,-122.4246912,Apartment,Entire home/apt,350,0,
Pacific Heights,37.7907432,-122.4250455,Condominium,Entire home/apt,975,18,
Pacific Heights,37.79587703,-122.4286991,Condominium,Entire home/apt,595,15,
Pacific Heights,37.78975375,-122.432394,Apartment,Private room,527,0,
Pacific Heights,37.78800537,-122.4422823,House,Private room,272,22,
Pacific Heights,37.79175618,-122.4247552,Apartment,Private room,65,127,
Pacific Heights,37.79057162,-122.4251397,Apartment,Private room,200,51,
Pacific Heights,37.78960308,-122.4375364,House,Private room,150,1,
Pacific Heights,37.79078913,-122.4274147,Apartment,Entire home/apt,150,24,
Pacific Heights,37.79378066,-122.4259717,Apartment,Private room,73,1,
Pacific Heights,37.79508153,-122.4319515,Apartment,Entire home/apt,199,0,
Pacific Heights,37.78827374,-122.4412798,House,Private room,169,2,
Pacific Heights,37.78910126,-122.4345974,House,Private room,129,296,
Pacific Heights,37.78903531,-122.4393961,Apartment,Entire home/apt,600,0,
Pacific Heights,37.79604838,-122.4269924,Condominium,Entire home/apt,400,0,
Pacific Heights,37.79095243,-122.4243404,Apartment,Entire home/apt,250,0,
Pacific Heights,37.79589731,-122.4265575,Apartment,Private room,145,1,
Pacific Heights,37.79369581,-122.4249678,Apartment,Entire home/apt,140,19,
Pacific Heights,37.7952212,-122.433326,Apartment,Private room,900,0,
Pacific Heights,37.78973831,-122.4343917,House,Private room,129,303,
Pacific Heights,37.79686898,-122.4281499,Apartment,Private room,95,3,
Pacific Heights,37.79661938,-122.4310894,Condominium,Entire home/apt,5000,0,
Pacific Heights,37.78823101,-122.4437303,Apartment,Entire home/apt,285,19,
Pacific Heights,37.79265343,-122.4295514,Apartment,Private room,89,85,
Pacific Heights,37.79656546,-122.4268243,Apartment,Entire home/apt,160,2,
Pacific Heights,37.7905186,-122.4425666,Apartment,Entire home/apt,276,5,
Pacific Heights,37.79486057,-122.4307706,Apartment,Entire home/apt,995,0,
Pacific Heights,37.78921841,-122.439029,House,Entire home/apt,149,7,
Pacific Heights,37.79285473,-122.4228788,Apartment,Entire home/apt,135,10,
Pacific Heights,37.78896122,-122.4452586,In-law,Entire home/apt,195,17,
Pacific Heights,37.79680835,-122.4251358,House,Entire home/apt,333,51,
Pacific Heights,37.78882437,-122.4469353,Apartment,Entire home/apt,125,19,
Pacific Heights,37.79187893,-122.4320529,Apartment,Entire home/apt,350,57,
Pacific Heights,37.7899853,-122.4307383,Apartment,Private room,95,5,
Pacific Heights,37.79280198,-122.4354821,Apartment,Private room,160,34,
Pacific Heights,37.79430166,-122.4239763,House,Private room,144,47,
Pacific Heights,37.79752727,-122.4239225,Apartment,Entire home/apt,180,103,
Pacific Heights,37.7915008,-122.437784,Apartment,Entire home/apt,250,4,
Pacific Heights,37.79508648,-122.4314453,House,Private room,109,44,
Pacific Heights,37.79617419,-122.4316143,Apartment,Shared room,250,1,
Pacific Heights,37.79554221,-122.4349448,Apartment,Private room,195,74,
Pacific Heights,37.79511144,-122.4274277,Apartment,Entire home/apt,195,24,
Pacific Heights,37.79196481,-122.4439825,Apartment,Entire home/apt,189,1,
Pacific Heights,37.79013438,-122.424226,Apartment,Private room,130,1,
Pacific Heights,37.79349246,-122.4385033,Apartment,Private room,75,0,
Pacific Heights,37.78821978,-122.4463808,Condominium,Entire home/apt,280,1,
Pacific Heights,37.78799171,-122.4411863,Apartment,Entire home/apt,1000,0,
Pacific Heights,37.79002612,-122.4259114,Apartment,Entire home/apt,350,11,
Pacific Heights,37.79031241,-122.4320845,Apartment,Entire home/apt,300,32,
Pacific Heights,37.79184347,-122.4422331,Condominium,Entire home/apt,550,51,
Pacific Heights,37.79502957,-122.4442901,House,Private room,199,0,
Pacific Heights,37.79111156,-122.424916,Apartment,Entire home/apt,175,0,
Pacific Heights,37.78992622,-122.4453338,Apartment,Entire home/apt,395,6,
Pacific Heights,37.79696138,-122.4245201,Bed & Breakfast,Entire home/apt,129,33,
Pacific Heights,37.79099675,-122.4277549,Apartment,Private room,91,21,
Pacific Heights,37.78915875,-122.4401762,House,Private room,150,4,
Pacific Heights,37.79485584,-122.4304203,Apartment,Entire home/apt,420,99,
Pacific Heights,37.78887968,-122.4468596,Apartment,Entire home/apt,198,0,
Pacific Heights,37.79143935,-122.4230383,Apartment,Private room,149,22,
Pacific Heights,37.7971829,-122.4250406,Bed & Breakfast,Entire home/apt,129,14,
Pacific Heights,37.79540903,-122.4269794,Apartment,Entire home/apt,250,2,
Pacific Heights,37.79031104,-122.4289464,Apartment,Private room,108,0,
Pacific Heights,37.78897168,-122.4468468,Condominium,Entire home/apt,185,93,
Pacific Heights,37.7940645,-122.4266063,Apartment,Entire home/apt,220,22,
Pacific Heights,37.79094953,-122.4343581,House,Entire home/apt,1200,4,
Pacific Heights,37.79554817,-122.4280768,Apartment,Private room,150,0,
Pacific Heights,37.79324018,-122.4339756,Apartment,Entire home/apt,400,17,
Pacific Heights,37.79561314,-122.4330121,Apartment,Entire home/apt,1300,0,
Pacific Heights,37.79066717,-122.4297656,House,Entire home/apt,950,8,
Pacific Heights,37.79543093,-122.4235908,Apartment,Entire home/apt,450,12,
Pacific Heights,37.79614668,-122.4336902,Apartment,Entire home/apt,120,1,
Pacific Heights,37.78994608,-122.4354119,House,Entire home/apt,462,67,
Pacific Heights,37.78899565,-122.4388299,Apartment,Entire home/apt,175,3,
Pacific Heights,37.79682932,-122.4257561,Guesthouse,Entire home/apt,500,5,
Pacific Heights,37.79362639,-122.4416855,Condominium,Entire home/apt,395,50,
Pacific Heights,37.78917594,-122.4419,House,Private room,174,38,
Pacific Heights,37.79284713,-122.4302919,Bed & Breakfast,Entire home/apt,225,0,
Pacific Heights,37.78900157,-122.4393911,House,Entire home/apt,900,3,
Pacific Heights,37.7910692,-122.4428315,Apartment,Entire home/apt,225,12,
Pacific Heights,37.79321444,-122.4325699,Apartment,Entire home/apt,285,15,
Pacific Heights,37.79118684,-122.4302343,House,Entire home/apt,289,1,
Pacific Heights,37.79517333,-122.4278398,Apartment,Entire home/apt,625,39,
Pacific Heights,37.79215184,-122.4347558,Apartment,Entire home/apt,267,21,
Pacific Heights,37.79215669,-122.4245818,Apartment,Private room,63,116,
Pacific Heights,37.79356133,-122.4365999,Apartment,Entire home/apt,300,11,
Pacific Heights,37.79457623,-122.4261721,Apartment,Shared room,250,1,
Pacific Heights,37.79005956,-122.4323644,Apartment,Entire home/apt,180,115,
Pacific Heights,37.79025438,-122.4443868,Apartment,Entire home/apt,213,58,
Pacific Heights,37.79575215,-122.425217,Apartment,Private room,99,113,
Pacific Heights,37.7903468,-122.4285969,House,Private room,150,0,
Pacific Heights,37.79621548,-122.4247607,Apartment,Entire home/apt,400,1,
Pacific Heights,37.79559527,-122.4307634,Apartment,Entire home/apt,195,20,
Pacific Heights,37.78930194,-122.432077,Apartment,Private room,140,0,
Pacific Heights,37.79060143,-122.4473165,Apartment,Private room,210,3,
Pacific Heights,37.79707439,-122.4250442,Bed & Breakfast,Entire home/apt,109,40,
Pacific Heights,37.79706825,-122.424677,Apartment,Private room,200,1,
Pacific Heights,37.79364017,-122.4305862,Bed & Breakfast,Private room,400,0,
Pacific Heights,37.79394527,-122.424018,Condominium,Private room,115,0,
Pacific Heights,37.7904842,-122.4302513,Apartment,Private room,150,0,
Pacific Heights,37.79688432,-122.4271439,Apartment,Entire home/apt,299,0,
Pacific Heights,37.79263842,-122.4234102,Apartment,Entire home/apt,200,4,
Pacific Heights,37.7907715,-122.4397327,Apartment,Private room,185,21,
Pacific Heights,37.79689541,-122.4289723,House,Entire home/apt,525,79,
Pacific Heights,37.79071058,-122.4340168,Apartment,Entire home/apt,250,0,
Pacific Heights,37.79287607,-122.4250786,Apartment,Private room,400,0,
Pacific Heights,37.78895493,-122.4457094,Apartment,Private room,85,20,
Pacific Heights,37.79256372,-122.4349863,Apartment,Private room,88,0,
Pacific Heights,37.79720941,-122.4256847,Apartment,Entire home/apt,350,18,
Pacific Heights,37.78979212,-122.4276161,Apartment,Entire home/apt,300,0,
Pacific Heights,37.7938368,-122.4243615,Apartment,Private room,63,93,
Pacific Heights,37.79619181,-122.4342404,Apartment,Private room,185,54,
Pacific Heights,37.79313557,-122.4250028,Apartment,Entire home/apt,350,0,
Pacific Heights,37.79412848,-122.4262127,Apartment,Private room,225,1,
Pacific Heights,37.79292385,-122.4408384,Apartment,Entire home/apt,1500,0,
Pacific Heights,37.79047834,-122.4243969,Apartment,Entire home/apt,290,8,
Pacific Heights,37.79705792,-122.4239229,Condominium,Private room,145,166,
Pacific Heights,37.79166446,-122.4264979,Apartment,Entire home/apt,115,31,
Pacific Heights,37.79034446,-122.4348015,Apartment,Entire home/apt,129,1,
Pacific Heights,37.79274736,-122.4282318,Apartment,Private room,99,38,
Pacific Heights,37.79075595,-122.443055,Apartment,Entire home/apt,375,38,
Pacific Heights,37.79434537,-122.436244,Condominium,Entire home/apt,650,7,
Pacific Heights,37.79516463,-122.4340261,Apartment,Entire home/apt,225,5,
Pacific Heights,37.79552531,-122.4324423,House,Private room,125,7,
Pacific Heights,37.79176486,-122.4287931,Apartment,Entire home/apt,1000,1,
Pacific Heights,37.79536131,-122.4270436,Dorm,Shared room,60,0,
Pacific Heights,37.79615026,-122.4340019,Apartment,Private room,199,8,
Pacific Heights,37.79534314,-122.4364317,Apartment,Entire home/apt,999,4,
Pacific Heights,37.78844322,-122.4454933,Condominium,Entire home/apt,600,0,
Pacific Heights,37.7911867,-122.4302994,Condominium,Entire home/apt,800,0,
Pacific Heights,37.79572894,-122.4357228,Apartment,Entire home/apt,395,21,
Pacific Heights,37.79629466,-122.4326998,Condominium,Private room,185,8,
Pacific Heights,37.78951046,-122.446166,Apartment,Private room,100,0,
Pacific Heights,37.78874956,-122.4436683,House,Private room,100,4,
Pacific Heights,37.79134057,-122.4320386,House,Entire home/apt,800,2,
Pacific Heights,37.79600117,-122.4355793,Apartment,Entire home/apt,180,6,
Pacific Heights,37.78890865,-122.4405673,Apartment,Private room,90,0,
Pacific Heights,37.79086385,-122.4433939,Apartment,Private room,135,29,
Pacific Heights,37.79369843,-122.424323,Apartment,Private room,200,0,
Pacific Heights,37.79184594,-122.4242994,Apartment,Private room,60,1,
Pacific Heights,37.79118866,-122.4457962,House,Entire home/apt,155,0,
Pacific Heights,37.79002832,-122.4355321,Apartment,Private room,150,1,
Pacific Heights,37.79027991,-122.4360791,Apartment,Entire home/apt,400,7,
Pacific Heights,37.7906229,-122.4359229,Condominium,Entire home/apt,450,4,
Pacific Heights,37.79295503,-122.425169,Apartment,Entire home/apt,700,0,
Pacific Heights,37.79168811,-122.4264892,Apartment,Entire home/apt,480,0,
Pacific Heights,37.78842138,-122.437784,Apartment,Entire home/apt,250,3,
Pacific Heights,37.79658773,-122.4275069,Apartment,Entire home/apt,540,14,
Pacific Heights,37.79378706,-122.4246407,Apartment,Entire home/apt,235,46,
Pacific Heights,37.79058866,-122.4388412,Apartment,Entire home/apt,200,11,
Pacific Heights,37.79308167,-122.4333377,Apartment,Entire home/apt,119,3,
Pacific Heights,37.79431442,-122.4253133,Apartment,Entire home/apt,189,4,
Pacific Heights,37.79341005,-122.4252142,Apartment,Entire home/apt,190,79,
Pacific Heights,37.79469288,-122.4280676,Apartment,Entire home/apt,138,11,
Pacific Heights,37.79139312,-122.4455245,Apartment,Entire home/apt,240,0,
Pacific Heights,37.78882011,-122.4432138,Apartment,Entire home/apt,191,105,
Pacific Heights,37.79311697,-122.4259984,Apartment,Private room,55,157,
Pacific Heights,37.78818134,-122.4450496,House,Private room,75,172,
Pacific Heights,37.78938341,-122.4416329,Apartment,Private room,90,1,
Pacific Heights,37.78972236,-122.4392185,Apartment,Entire home/apt,450,1,
Pacific Heights,37.79197158,-122.4297659,Apartment,Private room,99,15,
Pacific Heights,37.79255374,-122.4427292,Apartment,Entire home/apt,750,23,
Pacific Heights,37.79103204,-122.4337378,House,Entire home/apt,400,2,
Pacific Heights,37.78974658,-122.4410104,Apartment,Entire home/apt,211,13,
Pacific Heights,37.79431966,-122.4328802,Condominium,Entire home/apt,600,4,
Pacific Heights,37.79360312,-122.4267302,Apartment,Entire home/apt,199,9,
Pacific Heights,37.79133326,-122.4262091,Apartment,Entire home/apt,115,2,
Pacific Heights,37.78947695,-122.4380604,Apartment,Entire home/apt,400,12,
Pacific Heights,37.79013219,-122.4426614,Apartment,Entire home/apt,225,30,
Pacific Heights,37.79324369,-122.4341238,Apartment,Entire home/apt,400,0,
Pacific Heights,37.78880963,-122.4400007,Condominium,Entire home/apt,225,53,
Pacific Heights,37.79559535,-122.4378363,Apartment,Entire home/apt,190,1,
Pacific Heights,37.78836974,-122.4401529,Apartment,Entire home/apt,225,60,
Pacific Heights,37.7933572,-122.4250623,Apartment,Private room,56,112,
Pacific Heights,37.79712885,-122.4257124,Bed & Breakfast,Entire home/apt,129,87,
Pacific Heights,37.78953359,-122.443352,Apartment,Entire home/apt,650,0,
Pacific Heights,37.79354425,-122.4289973,Apartment,Entire home/apt,135,1,
Pacific Heights,37.79692232,-122.4284848,Apartment,Private room,200,0,
Pacific Heights,37.79154537,-122.4435229,Apartment,Private room,82,4,
Pacific Heights,37.79023183,-122.4410128,Apartment,Private room,85,50,
Pacific Heights,37.7954466,-122.4300249,Apartment,Entire home/apt,800,0,
Pacific Heights,37.79282608,-122.4302045,Bed & Breakfast,Private room,239,0,
Pacific Heights,37.79035488,-122.4358008,Apartment,Entire home/apt,455,1,
Pacific Heights,37.78998636,-122.4434464,House,Private room,120,1,
Pacific Heights,37.79634665,-122.4301351,Apartment,Entire home/apt,500,0,
Pacific Heights,37.79048901,-122.4447172,House,Entire home/apt,1200,12,
Pacific Heights,37.795371,-122.4246068,Apartment,Entire home/apt,400,16,
Pacific Heights,37.79369527,-122.4265578,Apartment,Private room,200,2,
Presidio Heights,37.7832308,-122.449888,Guest suite,Entire home/apt,185,7,
Presidio Heights,37.78406315,-122.4581091,House,Entire home/apt,650,0,
Presidio Heights,37.78734137,-122.4476109,House,Entire home/apt,850,0,
Presidio Heights,37.78920544,-122.4507291,Apartment,Entire home/apt,292,65,
Presidio Heights,37.78310825,-122.453309,Apartment,Entire home/apt,115,1,
Presidio Heights,37.78168701,-122.4562758,House,Private room,138,81,
Presidio Heights,37.78242115,-122.4581164,Apartment,Entire home/apt,150,7,
Presidio Heights,37.78203377,-122.4542952,House,Private room,75,2,
Presidio Heights,37.78213622,-122.4533486,House,Entire home/apt,227,3,
Presidio Heights,37.78678382,-122.4480204,Apartment,Entire home/apt,155,2,
Presidio Heights,37.78632696,-122.4560346,Apartment,Entire home/apt,285,3,
Presidio Heights,37.78575723,-122.4570115,Apartment,Private room,100,2,
Presidio Heights,37.78568289,-122.4526683,Condominium,Entire home/apt,625,1,
Presidio Heights,37.79036126,-122.4500584,House,Entire home/apt,995,0,
Presidio Heights,37.78893501,-122.4476047,Apartment,Entire home/apt,500,1,
Presidio Heights,37.78321886,-122.4504993,House,Entire home/apt,195,12,
Presidio Heights,37.78281775,-122.4531752,Apartment,Private room,100,0,
Presidio Heights,37.78734141,-122.4608273,House,Entire home/apt,380,17,
Presidio Heights,37.78505597,-122.4493002,Apartment,Private room,115,33,
Presidio Heights,37.78398267,-122.4541659,Apartment,Private room,300,0,
Presidio Heights,37.78144284,-122.4563493,House,Private room,135,174,
Presidio Heights,37.78972393,-122.4491782,House,Entire home/apt,1000,0,
Presidio Heights,37.7878197,-122.4560315,Apartment,Entire home/apt,175,1,
Presidio Heights,37.78364169,-122.4505386,Apartment,Entire home/apt,500,0,
Presidio Heights,37.78254949,-122.4484382,Apartment,Private room,83,123,
Presidio Heights,37.78511973,-122.4486327,Apartment,Entire home/apt,175,231,
Presidio Heights,37.79080551,-122.4529941,Condominium,Entire home/apt,449,6,
Presidio Heights,37.78271688,-122.4554079,Apartment,Private room,110,2,
Presidio Heights,37.78727019,-122.4583404,Apartment,Entire home/apt,365,24,
Presidio Heights,37.78995917,-122.4498138,House,Entire home/apt,135,178,
Presidio Heights,37.78829903,-122.4578837,House,Entire home/apt,1040,2,
Presidio Heights,37.78267161,-122.4530897,Condominium,Entire home/apt,700,31,
Presidio Heights,37.78297888,-122.4555555,Apartment,Private room,80,2,
Presidio Heights,37.78298972,-122.4498959,Guest suite,Entire home/apt,279,1,
Presidio Heights,37.78553012,-122.4509483,House,Entire home/apt,3500,0,
Presidio Heights,37.78375024,-122.4570482,House,Private room,150,4,
Presidio Heights,37.78764793,-122.4625206,Apartment,Entire home/apt,250,2,
Presidio Heights,37.7877786,-122.4591013,Apartment,Entire home/apt,325,2,
Presidio Heights,37.78389905,-122.4589579,House,Entire home/apt,750,2,
Presidio Heights,37.78530946,-122.4544856,House,Entire home/apt,7000,0,
Presidio Heights,37.78660733,-122.4579143,Apartment,Private room,85,0,
Presidio Heights,37.78258959,-122.4546291,Apartment,Entire home/apt,128,7,
Presidio Heights,37.78733202,-122.4547589,Apartment,Entire home/apt,300,3,
Presidio Heights,37.78700344,-122.4499636,Apartment,Entire home/apt,490,0,
South of Market,37.77772074,-122.4041097,Loft,Private room,159,122,
South of Market,37.77624634,-122.4086686,Apartment,Private room,130,94,
South of Market,37.77276639,-122.4064861,Apartment,Private room,988,0,
South of Market,37.77881884,-122.4088375,Apartment,Private room,150,0,
South of Market,37.77586252,-122.3997244,Apartment,Private room,200,2,
South of Market,37.77928458,-122.407103,Loft,Private room,90,3,
South of Market,37.77280584,-122.4044993,Loft,Entire home/apt,499,94,
South of Market,37.77686055,-122.4078313,Apartment,Entire home/apt,267,9,
South of Market,37.77717774,-122.4092121,Apartment,Entire home/apt,688,64,
South of Market,37.77349633,-122.4009435,Loft,Entire home/apt,350,13,
South of Market,37.77668716,-122.409271,House,Entire home/apt,333,137,
South of Market,37.77925069,-122.4044493,Other,Entire home/apt,500,8,
South of Market,37.77172223,-122.4109996,House,Entire home/apt,400,18,
South of Market,37.77939486,-122.4039647,Apartment,Entire home/apt,150,3,
South of Market,37.7764143,-122.4045364,Apartment,Entire home/apt,189,90,
South of Market,37.7756069,-122.4083486,Apartment,Entire home/apt,200,13,
South of Market,37.77540808,-122.4114224,Apartment,Entire home/apt,450,59,
South of Market,37.77620468,-122.3995479,Loft,Entire home/apt,339,1,
South of Market,37.77745966,-122.4094767,House,Entire home/apt,10,0,
South of Market,37.77862913,-122.4055623,Loft,Entire home/apt,300,42,
South of Market,37.77252947,-122.4031067,Apartment,Entire home/apt,220,3,
South of Market,37.77513171,-122.4097226,Apartment,Entire home/apt,500,1,
South of Market,37.77094385,-122.4056259,Apartment,Entire home/apt,1500,0,
South of Market,37.77873626,-122.4102727,Apartment,Shared room,150,0,
South of Market,37.78113035,-122.4081239,Loft,Private room,199,158,
South of Market,37.77714611,-122.3989261,Loft,Private room,140,52,
South of Market,37.78064684,-122.4051658,Apartment,Private room,195,2,
South of Market,37.77193964,-122.3941708,Apartment,Private room,94,3,
South of Market,37.77190083,-122.3902064,Apartment,Private room,210,0,
South of Market,37.77969754,-122.4068922,Other,Private room,65,20,
South of Market,37.78675727,-122.3900226,Apartment,Private room,99,1,
South of Market,37.77182085,-122.3958361,Apartment,Private room,150,0,
South of Market,37.78067259,-122.4108085,Apartment,Entire home/apt,349,9,
South of Market,37.78562953,-122.3941644,Condominium,Entire home/apt,244,26,
South of Market,37.77361361,-122.3964241,Apartment,Entire home/apt,210,32,
South of Market,37.77572887,-122.3966065,Apartment,Entire home/apt,180,2,
South of Market,37.77678599,-122.4143818,Apartment,Private room,89,21,
South of Market,37.77761961,-122.41397,Apartment,Private room,160,95,
South of Market,37.78617657,-122.3908585,Apartment,Entire home/apt,600,6,
South of Market,37.77546877,-122.4183063,House,Private room,450,0,
South of Market,37.77721063,-122.4136745,Condominium,Private room,350,0,
South of Market,37.77331523,-122.3925359,Apartment,Entire home/apt,150,0,
South of Market,37.78785664,-122.3932542,Loft,Entire home/apt,265,36,
South of Market,37.77379523,-122.3916832,Apartment,Entire home/apt,101,8,
South of Market,37.77351267,-122.3974676,Apartment,Entire home/apt,110,4,
South of Market,37.78898416,-122.3894412,Apartment,Entire home/apt,350,2,
South of Market,37.78373703,-122.3962963,Apartment,Entire home/apt,300,0,
South of Market,37.77699766,-122.4118894,Apartment,Entire home/apt,170,85,
South of Market,37.77419918,-122.3961422,Apartment,Entire home/apt,400,0,
South of Market,37.78678045,-122.3940108,Apartment,Entire home/apt,150,5,
South of Market,37.78824688,-122.3920197,Apartment,Entire home/apt,250,2,
South of Market,37.77662052,-122.4118986,Apartment,Entire home/apt,90,1,
South of Market,37.77541742,-122.4164382,Apartment,Entire home/apt,150,0,
South of Market,37.77333136,-122.3976533,Apartment,Entire home/apt,148,18,
South of Market,37.78050872,-122.3934178,Apartment,Shared room,42,0,
South of Market,37.77736347,-122.4119422,Apartment,Entire home/apt,350,6,
South of Market,37.77216216,-122.4206336,Apartment,Entire home/apt,325,0,
South of Market,37.77060912,-122.4179778,Apartment,Entire home/apt,275,0,
South of Market,37.77079269,-122.4215184,Apartment,Entire home/apt,225,4,
South of Market,37.77858041,-122.3957729,Apartment,Private room,150,24,
South of Market,37.77745886,-122.4082992,Condominium,Entire home/apt,249,2,
South of Market,37.76773354,-122.397918,Apartment,Entire home/apt,150,0,
South of Market,37.77533803,-122.4176948,Apartment,Entire home/apt,239,20,
South of Market,37.78034429,-122.4007532,Condominium,Private room,149,3,
South of Market,37.78092025,-122.4053265,Apartment,Private room,69,1,
South of Market,37.78128197,-122.4034604,Loft,Entire home/apt,975,88,
South of Market,37.77305127,-122.4143392,Apartment,Private room,99,0,
South of Market,37.77562116,-122.4169012,House,Private room,65,35,
South of Market,37.77431914,-122.4063893,Apartment,Private room,100,0,
South of Market,37.77700409,-122.3964387,Condominium,Private room,95,68,
South of Market,37.77767886,-122.4157608,Apartment,Private room,119,31,
South of Market,37.77083285,-122.3942749,Apartment,Entire home/apt,229,0,
South of Market,37.78242705,-122.4091008,Dorm,Private room,85,12,
South of Market,37.78448368,-122.39698,Apartment,Entire home/apt,100,1,
South of Market,37.77116329,-122.4219948,Apartment,Private room,140,139,
South of Market,37.77395516,-122.4022029,House,Private room,65,2,
South of Market,37.77805862,-122.395011,Apartment,Entire home/apt,200,5,
South of Market,37.77548144,-122.4076107,Apartment,Private room,74,0,
South of Market,37.78045392,-122.3965172,Apartment,Private room,98,5,
South of Market,37.77280401,-122.4034046,Apartment,Entire home/apt,250,0,
South of Market,37.78118262,-122.4050735,Apartment,Private room,90,0,
South of Market,37.78370086,-122.3966537,Apartment,Entire home/apt,120,1,
South of Market,37.78757777,-122.3933096,Apartment,Entire home/apt,500,0,
South of Market,37.7742591,-122.4019178,Apartment,Entire home/apt,260,113,
South of Market,37.77578474,-122.4005406,Loft,Private room,128,14,
South of Market,37.7730045,-122.3981395,Apartment,Entire home/apt,265,1,
South of Market,37.77569307,-122.4124275,House,Private room,150,2,
South of Market,37.7793275,-122.4098055,Apartment,Entire home/apt,275,4,
South of Market,37.78110812,-122.4059736,Apartment,Entire home/apt,133,34,
South of Market,37.77527657,-122.4075229,Apartment,Private room,200,22,
South of Market,37.7698451,-122.4141799,Condominium,Entire home/apt,300,0,
South of Market,37.77888691,-122.4063812,Loft,Entire home/apt,300,32,
South of Market,37.78052266,-122.3907843,Apartment,Entire home/apt,200,7,
South of Market,37.78095845,-122.3889638,Apartment,Private room,125,5,
South of Market,37.77415126,-122.4086088,Apartment,Entire home/apt,120,11,
South of Market,37.7820935,-122.3949426,Apartment,Entire home/apt,445,11,
South of Market,37.78490189,-122.3954285,Apartment,Entire home/apt,299,155,
South of Market,37.77681591,-122.4169436,Apartment,Entire home/apt,650,8,
South of Market,37.77471374,-122.3912662,Apartment,Entire home/apt,250,19,
South of Market,37.77961188,-122.3919489,Apartment,Entire home/apt,322,165,
South of Market,37.78594121,-122.3923224,Condominium,Entire home/apt,249,10,
South of Market,37.78750619,-122.389894,Condominium,Entire home/apt,185,25,
South of Market,37.77535489,-122.3899965,Apartment,Private room,197,6,
South of Market,37.7727076,-122.3937593,Apartment,Private room,100,0,
South of Market,37.77527294,-122.4116926,Apartment,Entire home/apt,350,0,
South of Market,37.77753209,-122.4095416,Apartment,Private room,140,6,
South of Market,37.78678845,-122.3917757,Apartment,Entire home/apt,300,16,
South of Market,37.77753475,-122.3926363,Condominium,Entire home/apt,254,0,
South of Market,37.77660093,-122.3941935,Apartment,Private room,200,2,
South of Market,37.77333997,-122.4197343,Apartment,Private room,169,24,
South of Market,37.78018909,-122.405091,Apartment,Shared room,50,0,
South of Market,37.78209684,-122.3947724,Apartment,Private room,150,12,
South of Market,37.77225553,-122.4138811,House,Entire home/apt,350,16,
South of Market,37.77696561,-122.4047544,Loft,Entire home/apt,245,19,
South of Market,37.78827876,-122.3927862,Apartment,Entire home/apt,550,31,
South of Market,37.7878706,-122.3912307,Condominium,Shared room,85,0,
South of Market,37.77900478,-122.4061766,Apartment,Entire home/apt,200,3,
South of Market,37.77423602,-122.4105896,Loft,Entire home/apt,290,39,
South of Market,37.77815821,-122.3929219,Apartment,Private room,250,1,
South of Market,37.78644098,-122.3952102,Condominium,Entire home/apt,399,0,
South of Market,37.78196601,-122.3968584,Loft,Entire home/apt,299,6,
South of Market,37.7798669,-122.4045232,Condominium,Private room,315,0,
South of Market,37.7780777,-122.4148175,Apartment,Private room,120,6,
South of Market,37.77288528,-122.4048321,Apartment,Private room,67,0,
